feature,coefficient,abs_coefficient
num__bene_race_othr_cnt,-0.022255856446967932,0.022255856446967932
num__sbmtd_to_alowd_ratio,-0.021645532078030254,0.021645532078030254
num__sbmtd_chrg_per_srvc,-0.02094963698580613,0.02094963698580613
num__bh_condition_pct_max,0.020307008711620757,0.020307008711620757
num__flag_spike_srvcs_per_bene_gt2x_lag1,0.020280482930033556,0.020280482930033556
num__ph_condition_pct_mean_specialty_year_pct_rank,0.020266263941328997,0.020266263941328997
num__flag_spike_pymt_amt_per_bene_gt2x_lag1,0.020135813079122836,0.020135813079122836
num__log1p_tot_sbmtd_chrg,-0.020042535574460472,0.020042535574460472
num__bene_race_wht_cnt,-0.019899481500938572,0.019899481500938572
num__tot_benes,-0.01982586170276503,0.01982586170276503
num__srvcs_per_bene_specialty_year_median,-0.019681002973801782,0.019681002973801782
num__flag_top1pct_tot_mdcr_pymt_amt_within_specialty_year,0.01967186239189477,0.01967186239189477
num__tot_mdcr_alowd_amt_specialty_year_pct_rank,-0.0194065850908647,0.0194065850908647
num__bene_cc_bh_adhd_othcd_v1_pct,0.01926980035902832,0.01926980035902832
num__sbmtd_to_pymt_ratio_specialty_year_pct_rank,-0.01924930320122066,0.01924930320122066
num__srvcs_per_bene_lag1,0.019232992118754393,0.019232992118754393
num__flag_spike_tot_benes_gt2x_lag1,-0.019165319645046645,0.019165319645046645
num__bene_race_othr_share,-0.01915042380254938,0.01915042380254938
num__flag_top1pct_tot_mdcr_alowd_amt_within_specialty_year,0.01904022990934003,0.01904022990934003
num__flag_top1pct_sbmtd_to_pymt_ratio_within_specialty_year,0.018873076680204375,0.018873076680204375
num__bene_age_75_84_cnt,-0.018784079721949964,0.018784079721949964
num__bene_age_75_84_share,-0.018691457298966548,0.018691457298966548
num__risk_score_x_dual_share,0.01861103983065543,0.01861103983065543
num__bene_male_cnt,-0.018426444481316438,0.018426444481316438
num__pymt_amt_per_bene_minus_specialty_year_median,0.018404543702972332,0.018404543702972332
num__pymt_amt_per_srvc,-0.018386553649989406,0.018386553649989406
num__bene_race_wht_share,-0.018322632270224147,0.018322632270224147
num__alowd_amt_per_bene,0.017667967171455922,0.017667967171455922
num__stdzd_amt_per_bene_minus_specialty_year_median,0.017567136667302828,0.017567136667302828
num__med_tot_benes,-0.017510785247189447,0.017510785247189447
num__sbmtd_to_alowd_ratio_minus_specialty_year_median,-0.0174055014901574,0.0174055014901574
cat__rndrng_prvdr_type_Family Practice,0.017143652482250072,0.017143652482250072
num__stdzd_amt_per_srvc,-0.017067140786057738,0.017067140786057738
num__bene_cc_ph_stroke_tia_v2_pct,-0.016709807978436346,0.016709807978436346
num__sbmtd_chrg_per_bene_specialty_year_pct_rank,0.016546084808678366,0.016546084808678366
num__log1p_tot_mdcr_pymt_amt,-0.016242474002008355,0.016242474002008355
num__ph_condition_pct_mean_specialty_year_median,-0.016086722638828915,0.016086722638828915
num__bene_feml_cnt,-0.015719143448534107,0.015719143448534107
num__flag_top5pct_tot_srvcs_within_specialty_year,0.015687657155743374,0.015687657155743374
num__sbmtd_to_pymt_ratio_yoy_abs_change,0.015515704136551534,0.015515704136551534
num__bene_cc_bh_bipolar_v1_pct,0.01539624616336095,0.01539624616336095
num__sbmtd_chrg_per_bene_specialty_year_median,-0.015344165826421608,0.015344165826421608
num__bene_cc_ph_hf_nonihd_v2_pct,-0.015180699075362155,0.015180699075362155
num__tot_sbmtd_chrg_lag1,0.014787227568220474,0.014787227568220474
cat__rndrng_prvdr_type_Internal Medicine,0.014728497997347111,0.014728497997347111
num__sbmtd_to_alowd_ratio_specialty_year_median,-0.014482720752817735,0.014482720752817735
num__log1p_tot_mdcr_stdzd_amt,-0.014191523639576738,0.014191523639576738
num__bene_cc_ph_ckd_v2_pct,-0.014029429309215772,0.014029429309215772
num__sbmtd_to_pymt_ratio_lag1,-0.013923032931561307,0.013923032931561307
num__flag_spike_tot_sbmtd_chrg_gt2x_lag1,-0.013682460153085453,0.013682460153085453
num__bene_dual_share_yoy_pct_change,-0.013524109175734522,0.013524109175734522
num__ph_condition_pct_max,-0.013523464615215858,0.013523464615215858
num__pymt_amt_per_bene,0.013326262459044029,0.013326262459044029
num__sbmtd_to_pymt_ratio_specialty_year_median,-0.013209474513943177,0.013209474513943177
num__drug_tot_hcpcs_cds,0.013158239066346271,0.013158239066346271
num__bh_condition_pct_mean,0.013149334094336072,0.013149334094336072
num__stdzd_amt_per_bene,0.01309745923226161,0.01309745923226161
num__med_tot_srvcs,0.013096661469953181,0.013096661469953181
num__year_gap_from_prev,0.013054590964657066,0.013054590964657066
num__flag_spike_tot_srvcs_gt2x_lag1,-0.01255946741773095,0.01255946741773095
num__bene_male_share,0.012446031698357089,0.012446031698357089
num__bene_feml_share,-0.012330225584270205,0.012330225584270205
num__log1p_sbmtd_chrg_per_bene,0.012243355435768495,0.012243355435768495
num__pymt_amt_per_bene_specialty_year_median,-0.0117149322923328,0.0117149322923328
num__ph_condition_pct_mean_yoy_pct_change,0.011705499467110978,0.011705499467110978
num__flag_spike_bene_dual_share_gt2x_lag1,-0.011627998904796074,0.011627998904796074
num__bh_condition_pct_mean_minus_specialty_year_median,0.011239445559984245,0.011239445559984245
num__alowd_amt_per_srvc,-0.011186609027508667,0.011186609027508667
num__srvcs_per_bene_minus_specialty_year_median,0.011154043528997999,0.011154043528997999
num__tot_srvcs_specialty_year_pct_rank,-0.01104887594504946,0.01104887594504946
num__bene_avg_risk_scre,-0.010891076146140672,0.010891076146140672
num__flag_spike_tot_mdcr_alowd_amt_gt2x_lag1,-0.010857710624663067,0.010857710624663067
num__bene_cc_bh_schizo_othpsy_v1_pct,0.01084709056123779,0.01084709056123779
num__stdzd_amt_per_bene_specialty_year_median,-0.010838481355813511,0.010838481355813511
num__flag_top1pct_tot_srvcs_within_specialty_year,0.010534936434918433,0.010534936434918433
num__observed_prev_year,0.010174845656150828,0.010174845656150828
num__drug_srvcs_share,0.010123098503009069,0.010123098503009069
num__med_srvcs_share,-0.010051521720150008,0.010051521720150008
num__sbmtd_to_pymt_ratio,-0.009803441616056365,0.009803441616056365
num__bene_cc_bh_ptsd_v1_pct,-0.009607147663588144,0.009607147663588144
num__bene_race_hspnc_cnt,0.00958239730434698,0.00958239730434698
num__alowd_amt_per_bene_specialty_year_median,-0.009522406767068595,0.009522406767068595
num__bene_cc_bh_pd_v1_pct,-0.009251783514393104,0.009251783514393104
num__bh_condition_pct_mean_specialty_year_pct_rank,0.009154816653456231,0.009154816653456231
num__med_mdcr_alowd_amt,0.008971719938895735,0.008971719938895735
num__bene_avg_risk_scre_minus_specialty_year_median,-0.00884120287269941,0.00884120287269941
num__flag_spike_tot_mdcr_pymt_amt_gt2x_lag1,-0.008740272090291481,0.008740272090291481
num__bene_race_black_cnt,-0.00865895476869168,0.00865895476869168
num__srvcs_per_bene_yoy_pct_change,-0.008088921111935847,0.008088921111935847
num__tot_mdcr_pymt_amt_yoy_pct_change,-0.008077488227606486,0.008077488227606486
num__bene_race_api_share,0.00802041184364539,0.00802041184364539
num__flag_spike_tot_mdcr_stdzd_amt_gt2x_lag1,-0.007954695772902896,0.007954695772902896
num__tot_mdcr_stdzd_amt_yoy_pct_change,-0.007798074926403494,0.007798074926403494
num__pymt_amt_per_bene_yoy_pct_change,-0.007757895251899543,0.007757895251899543
num__bene_avg_risk_scre_lag1,-0.0077270493769927345,0.0077270493769927345
cat__rndrng_prvdr_type_Physician Assistant,-0.007632955079450301,0.007632955079450301
num__log1p_alowd_amt_per_srvc,-0.007535007754713028,0.007535007754713028
num__med_mdcr_pymt_amt,0.007435177269220732,0.007435177269220732
num__bene_cc_ph_osteoporosis_v2_pct,-0.007251241308618623,0.007251241308618623
num__bene_avg_risk_scre_yoy_pct_change,0.007226837800461393,0.007226837800461393
num__med_mdcr_stdzd_amt,0.007102687784409581,0.007102687784409581
num__tot_sbmtd_chrg,-0.007044117918790747,0.007044117918790747
num__flag_spike_bene_avg_risk_scre_gt2x_lag1,0.007038909203576715,0.007038909203576715
num__srvcs_per_bene,0.0070201430576058675,0.0070201430576058675
num__bene_cc_ph_asthma_v2_pct,-0.006991311430288493,0.006991311430288493
num__tot_mdcr_alowd_amt_yoy_pct_change,-0.006955708700378515,0.006955708700378515
num__tot_srvcs_lag1,0.0069155838635745984,0.0069155838635745984
num__bene_dual_share_yoy_abs_change,-0.006903022438121332,0.006903022438121332
num__drug_mdcr_stdzd_amt,-0.006866939025584655,0.006866939025584655
num__drug_tot_srvcs,-0.006832846671176894,0.006832846671176894
num__drug_mdcr_pymt_amt,-0.0067946591309102885,0.0067946591309102885
num__drug_mdcr_alowd_amt,-0.006701311095971049,0.006701311095971049
num__bene_age_gt_84_cnt,-0.006698646990438875,0.006698646990438875
num__ph_condition_pct_mean_yoy_abs_change,0.006691611360117737,0.006691611360117737
cat__rndrng_prvdr_type_Physical Therapist in Private Practice,-0.006383661449460295,0.006383661449460295
num__bene_avg_risk_scre_specialty_year_median,-0.006379944205345381,0.006379944205345381
num__tot_sbmtd_chrg_minus_specialty_year_median,-0.006108420959400823,0.006108420959400823
num__drug_sbmtd_chrg,-0.006099845928221395,0.006099845928221395
num__tot_sbmtd_chrg_yoy_pct_change,-0.005855523012707496,0.005855523012707496
