k,rows_considered,positives_found,precision_at_k,avg_score,median_score
100,100,1,0.01,0.9675534602307824,0.9662012515795504
500,500,5,0.01,0.9539745502585133,0.9517156858799354
1000,1000,10,0.01,0.9456218853394992,0.943396185791036
5000,5000,27,0.0054,0.9117144647998789,0.908145656065935
