model,C,n_train_full,n_train_subset,n_valid,train_subset_positive_count,train_subset_negative_count,valid_positive_count,train_subset_positive_rate,valid_positive_rate,negative_to_positive_ratio_used,max_iter,tol,auprc_valid,roc_auc_valid,precision_at_100_valid,precision_at_500_valid,precision_at_1000_valid,precision_at_5000_valid,recall_at_500_valid,recall_at_1000_valid,lift_at_500_valid,lift_at_1000_valid
logreg_v4,0.5,4637638,10836,1230288,516,10320,168,0.047619047619047616,0.00013655339237641918,20,200,0.001,0.0013735472717064335,0.8187673497397854,0.01,0.006,0.003,0.0028,0.017857142857142856,0.017857142857142856,43.938857142857145,21.969428571428573
logreg_v4,2.0,4637638,10836,1230288,516,10320,168,0.047619047619047616,0.00013655339237641918,20,200,0.001,0.0013701545406867765,0.8185364489217467,0.01,0.006,0.003,0.0028,0.017857142857142856,0.017857142857142856,43.938857142857145,21.969428571428573
logreg_v4,1.0,4637638,10836,1230288,516,10320,168,0.047619047619047616,0.00013655339237641918,20,200,0.001,0.0013657595331025662,0.8184959379688855,0.01,0.006,0.003,0.0028,0.017857142857142856,0.017857142857142856,43.938857142857145,21.969428571428573
