stage,model,auprc,roc_auc,precision_at_500,precision_at_1000,lift_at_500,lift_at_1000
validation_2022,logistic_v4,0.0013735472717064335,0.8187673497397854,0.006,0.003,43.938857142857145,21.969428571428573
validation_2022,catboost_v4,0.0034991097001825316,0.8698071752194521,0.016,0.013,117.17028571428573,95.20085714285715
test_2023,catboost_final_v4,0.0027840932958608107,0.8208613699914057,0.01,0.01,83.39966887417219,83.39966887417219
